t-SNE Feature 1,t-SNE Feature 2,cluster
34.08889,-11.549112,12
53.28409,10.761968,7
-55.680717,12.103458,5
-54.199875,-18.755953,9
30.361494,-55.08954,8
24.581726,-2.4582713,12
71.889565,-24.72702,1
23.850592,-6.0998335,12
-30.365057,13.084933,11
0.6752565,-28.081696,2
28.705595,55.463932,4
-28.40301,-60.994774,10
33.745777,-42.461388,8
-73.001724,48.50828,3
20.48679,14.969182,6
-49.610268,-20.718363,9
-48.64475,-29.34857,9
-0.9430114,-55.589005,2
1.6185905,-44.93631,2
48.303288,17.963013,7
4.029606,-22.909882,2
71.889565,-24.72702,1
2.5260644,12.434705,6
-39.94643,-22.880047,9
6.4693093,-56.57783,2
29.934174,-47.830128,8
-17.107973,-50.86527,10
37.731903,-37.20574,8
-59.137833,65.95846,3
8.725468,8.219767,6
-21.13128,-61.733303,10
19.514618,-8.807403,12
-3.4124322,50.01652,0
62.231453,21.070055,7
-18.310143,-63.43073,10
-87.6857,-20.03765,3
37.977535,45.011284,4
-55.873432,21.995588,5
-18.405033,52.353386,0
2.4467375,55.891056,0
-0.9151198,56.02802,0
30.221392,41.94944,4
22.882315,86.49285,3
71.889565,-24.72702,1
21.465853,-5.134587,12
-14.838574,-52.948284,10
-4.9174304,-29.51944,2
-64.77848,17.649158,5
54.304638,23.084503,7
-3.7944744,-18.324043,2
4.9170933,-23.587545,2
-44.78819,48.407074,3
-52.27801,16.772285,5
40.922165,-45.76525,8
29.568684,45.250065,4
-46.889866,-19.758148,9
34.402584,-47.554386,8
-13.196387,19.152966,11
-27.102371,-58.43667,10
4.781013,54.489777,0
51.681095,11.438234,7
-48.898735,-28.489286,9
-73.001724,48.50828,3
-22.220919,6.614176,11
-65.660255,15.842639,5
-20.080168,-39.327618,10
-1.3179022,-30.98135,2
-5.2597775,-12.153157,2
62.948925,8.300837,7
71.889565,-24.72702,1
-19.592878,3.008873,11
-13.338401,5.9379606,11
1.6649499,-46.561493,2
31.358147,45.738564,4
1.1961182,19.718897,6
-2.4318016,47.588764,0
39.017498,-4.62193,12
20.12402,14.1300335,6
-20.06147,-65.461174,10
